binomial,family,life_form,lqv_vernacular,lqv_25km_occurrences,seen_within_5km,n_obs_5km,months_seen,py_threat_category,ar_threat_category,endemism_group,uses,is_timber,lqv_priority_score
Copaifera langsdorffii,Fabaceae,tree,Brazilian diesel tree,39,,0,,,Endangered,widespread,fuel | medicinal | poison | resins_gums | timber,yes,6
Parapiptadenia rigida,Fabaceae,tree,Anchico,34,,0,,,,widespread,timber,yes,6
Luehea divaricata,Malvaceae,tree,Azota caballos,31,y,1,Feb,,,widespread,timber,yes,5
Nectandra megapotamica,Lauraceae,tree,canela,28,,0,,,,widespread,timber,yes,6
Protium heptaphyllum,Burseraceae,tree,Caraño,28,,0,,,,widespread,timber,yes,5
Casearia gossypiosperma,Salicaceae,tree,Cambroé,27,,0,,,,widespread,timber,yes,5
Cordia americana,Boraginaceae,tree,guayaibí,27,,0,,,,widespread,timber,yes,5
Peltophorum dubium,Fabaceae,tree,caña fístola,26,,0,,,,widespread,timber,yes,6
Alchornea triplinervia,Euphorbiaceae,tree,Gakamenewe,21,,0,,,,widespread,timber,yes,5
Myrcianthes pungens,Myrtaceae,tree,guaviyú,20,,0,,,,widespread,timber,yes,6
Ocotea puberula,Lauraceae,tree,Laurel Guaica,18,,0,,,,widespread,timber,yes,6
Anadenanthera colubrina,Fabaceae,tree,Red Angico,2,,0,,,,widespread,timber,yes,6
Pterogyne nitens,Fabaceae,tree,,2,,0,,,,widespread,fuel | ornamental | timber,yes,6
Balfourodendron riedelianum,Rutaceae,tree,marfim,1,,0,,en_peligro,,widespread,timber,yes,7
Cordia trichotoma,Boraginaceae,tree,,1,,0,,en_peligro,Indeterminada (maybe LC),widespread,timber,yes,7
Handroanthus impetiginosus,Bignoniaceae,tree,pink ipê,1,,0,,,,widespread,medicinal | ornamental | timber,yes,6
Ceiba speciosa,Malvaceae,tree,Silk floss tree,1,,0,,,,widespread,essential_oils | fibres | medicinal | ornamental | timber,yes,5
Sapium haematospermum,Euphorbiaceae,tree,,1,,0,,,,widespread,timber,yes,5
Zanthoxylum rhoifolium,Rutaceae,tree,Tambataru,1,,0,,,,widespread,timber,yes,5
Ateleia glazioveana,Fabaceae,tree,,,,0,,en_peligro,,near_endemic,timber,yes,7
Araucaria angustifolia,Araucariaceae,tree,,,,0,,en_peligro,Endangered,pure_endemic,food | medicinal | ornamental | timber,yes,6
Amburana cearensis,Fabaceae,tree,,,,0,,en_peligro,,widespread,timber,yes,5
Apuleia leiocarpa,Fabaceae,tree,,,,0,,amenazada,,widespread,timber,yes,5
Arapatiella psilophylla,Fabaceae,tree,,,,0,,,,pure_endemic,timber,yes,5
Cedrela angustifolia,Meliaceae,tree,,,,0,,en_peligro,Indeterminada,widespread,timber,yes,5
Cedrela fissilis,Meliaceae,tree,,,,0,,en_peligro,,widespread,timber,yes,5
Centrolobium robustum,Fabaceae,tree,,,,0,,,,near_endemic,timber,yes,5
Dalbergia nigra,Fabaceae,tree,,,,0,,,,near_endemic,timber,yes,5
Euterpe edulis,Arecaceae,tree,,,,0,,en_peligro,Endangered,widespread,food,yes,5
Melanoxylon brauna,Fabaceae,tree,,,,0,,,,near_endemic,timber,yes,5
Mezilaurus navalium,Lauraceae,tree,,,,0,,,,pure_endemic,timber,yes,5
Mimosa scabrella,Fabaceae,tree,,,,0,,,,near_endemic,fences | fibres | fuel | medicinal | ornamental | timber,yes,5
Myrocarpus fastigiatus,Fabaceae,tree,,,,0,,,,near_endemic,timber,yes,5
Myrocarpus frondosus,Fabaceae,tree,,,,0,,,Endangered (maybe Vulnerable),near_endemic,timber,yes,5
Myroxylon peruiferum,Fabaceae,tree,,,,0,,en_peligro,Vulnerable,widespread,timber,yes,5
Ocotea porosa,Lauraceae,tree,,,,0,,,,near_endemic,timber,yes,5
Paratecoma peroba,Bignoniaceae,tree,,,,0,,,,pure_endemic,timber,yes,5
Paubrasilia echinata,Fabaceae,tree,,,,0,,,,near_endemic,timber,yes,5
Piptadenia paniculata,Fabaceae,tree,,,,0,,,,near_endemic,timber,yes,5
Tachigali pilgeriana,Fabaceae,tree,,,,0,,,,pure_endemic,timber,yes,5
Vataireopsis araroba,Fabaceae,tree,,,,0,,,,pure_endemic,timber,yes,5
Zeyheria tuberculosa,Bignoniaceae,tree,,,,0,,en_peligro,,widespread,timber,yes,5
Aspidosperma polyneuron,Apocynaceae,tree,,,,0,,en_peligro,Endangered,widespread,timber,yes,4
Calophyllum brasiliense,Calophyllaceae,tree,,,,0,,en_peligro,,widespread,fodder | lipids | medicinal | ornamental | timber,yes,4
Cariniana estrellensis,Lecythidaceae,tree,,,,0,,en_peligro,,widespread,timber,yes,4
Cariniana legalis,Lecythidaceae,tree,,,,0,,,,near_endemic,timber,yes,4
Gallesia integrifolia,Phytolaccaceae,tree,,,,0,,,,pure_endemic,timber,yes,4
Joannesia princeps,Euphorbiaceae,tree,,,,0,,,,near_endemic,timber,yes,4
Miconia cinnamomifolia,Melastomataceae,tree,,,,0,,,,near_endemic,timber,yes,4
Piptocarpha angustifolia,Asteraceae,tree,,,,0,,,,near_endemic,timber,yes,4
Terminalia januariensis,Combretaceae,tree,,,,0,,,,near_endemic,timber,yes,4
Vernonanthura discolor,Asteraceae,tree,,,,0,,,,near_endemic,timber,yes,4
Virola bicuhyba,Myristicaceae,tree,,,,0,,,,near_endemic,timber,yes,4
Virola gardneri,Myristicaceae,tree,,,,0,,,,near_endemic,timber,yes,4
Vochysia bifalcata,Vochysiaceae,tree,,,,0,,,,pure_endemic,timber,yes,4
Albizia pedicellaris,Fabaceae,tree,,,,0,,,,widespread,timber,yes,3
Andira inermis,Fabaceae,tree,,,,0,,,,occasional,fodder | food | fuel | medicinal | ornamental | poison | timber,yes,3
Andira surinamensis,Fabaceae,tree,,,,0,,,,occasional,timber,yes,3
Aniba canelilla,Lauraceae,tree,,,,0,,,,widespread,timber,yes,3
Bauhinia cheilantha,Fabaceae,tree,,,,0,,,,occasional,fodder | timber,yes,3
Bowdichia virgilioides,Fabaceae,tree,,,,0,,,,widespread,ornamental | timber,yes,3
Brosimum alicastrum,Moraceae,tree,,,,0,,,,occasional,fodder | food | timber,yes,3
Brosimum gaudichaudii,Moraceae,tree,,,,0,,,,widespread,medicinal | timber,yes,3
Brosimum guianense,Moraceae,tree,,,,0,,,,widespread,timber,yes,3
Brosimum parinarioides,Moraceae,tree,,,,0,,,,occasional,timber,yes,3
Brosimum rubescens,Moraceae,tree,,,,0,,,,occasional,timber,yes,3
Cabralea canjerana,Meliaceae,tree,,,,0,,,,widespread,timber,yes,3
Calycophyllum multiflorum,Rubiaceae,tree,,,,0,,,Vulnerable,widespread,timber,yes,3
Calycophyllum spruceanum,Rubiaceae,tree,,,,0,,,,occasional,timber,yes,3
Cassia fastuosa,Fabaceae,tree,,,,0,,,,occasional,timber,yes,3
Cassia grandis,Fabaceae,tree,,,,0,,,,widespread,fences | fodder | food | fuel | medicinal | ornamental | resins_gums | timber,yes,3
Cedrela odorata,Meliaceae,tree,,,,0,,,,widespread,fibres | fuel | medicinal | ornamental | timber,yes,3
Centrolobium tomentosum,Fabaceae,tree,,,,0,,,,widespread,timber,yes,3
Chamaecrista apoucouita,Fabaceae,tree,,,,0,,,,widespread,timber,yes,3
Chrysophyllum gonocarpum,Sapotaceae,tree,,,,0,,,,widespread,timber,yes,3
Chrysophyllum lucentifolium,Sapotaceae,tree,,,,0,,,,widespread,timber,yes,3
Chrysophyllum pomiferum,Sapotaceae,tree,,,,0,,,,occasional,timber,yes,3
Clarisia racemosa,Moraceae,tree,,,,0,,,,widespread,timber,yes,3
Copaifera duckei,Fabaceae,tree,,,,0,,,,widespread,timber,yes,3
Copaifera reticulata,Fabaceae,tree,,,,0,,,,occasional,timber,yes,3
Coutarea hexandra,Rubiaceae,tree,,,,0,,,,widespread,timber,yes,3
Dalbergia cearensis,Fabaceae,tree,,,,0,,,,occasional,timber,yes,3
Dalbergia decipularis,Fabaceae,tree,,,,0,,,,widespread,timber,yes,3
Dalbergia ecastaphyllum,Fabaceae,shrub,,,,0,,,,widespread,timber,yes,3
